	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified	0.00443	0.00316	0.32921	0	0.16884	0.04758	0	0.08656	0.11321	0.04065	1.14265	0.02275	0.03989	0.10891	0.0937	0.77285	0.0259	0.78953	0.05686	0.3023	0.07945	0	0.05726	0.00868	2.99205	0.24452	0.13634	0.00063	2.31699	0.06465	4.06247	0.00123	0.0028	0.00483	0.01841	0.03923	0	0.32437	0.27783	0.01039	0.02881	0	0.02094	0.00584	0	0	0.02323	0.31949	0.01104	0.00496	0.09483	0	0.5617	0.13507	0.32772	2.01716	0.10306	0	0.00162	0.093	0.65647	0.03968	0.03168	0	0.06417	0.02483	0.10546	0.27181	0.13137	0	0.02759	1.40179	0.29453	0	0.05946	0.01063	0.54737	0.01019	0	0	0.27335	3.24131	0.11576	0.19972	0.02399	0	0.09059	0.53373	0.09462	0	0.0982	0.00216	3.96442	0.23904	0.04941	0.00236	0.1454	0.03214	2.67601	0.05211	0	0.01139	0.17045	0.03315	0	0.13264	0.22373	0.05681	0.00257	0.00183	0.09642	0	0.00794	0.36041	0.01145	0	0	0.04012	0.03779	0.01238	0.03104	0.41355	0.02261	0.04596	0.16854	0.00802	0.01313	0.00628	0.12721	0.01839	0.00606	0.04835	0.02976	0	0.1955	0	0.03116	0.23363	0.69742	0.05592	2.76102	0.06695	0.0108	0.03476	0.05476	0.94043	0.19845	0.00253	0.00024	0.06041	0.36481	0.09645	0.17627	0.02397	0.06856	0.00048	0.07712	0.02639	0	0.0197	0	0.8676	0.25985	0.06996	0.00482	0.04918	0.00558	0	0	0.11311	0.00594	0.00617	0	0	0.05696	0.06483	0.1851	0.00825	0.21782	0.0648	0	0.01185	0.01279	0.77943	0.0432	0.16581	0	0.11442	0.00993	0.48815	0.04952	0.04178	0.01085	0.37318	0.04785	0	0.01143	0.01181	0.00351
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_6_1_45|t__GCF_000242175	0.00438	0	0.01138	0	0.0098	0	0	0	0.2037	0.00395	0.00142	0.0077	0.00057	0	0	0.00295	0.00537	0	0.01942	0.00254	0	0	0	0	0	0.00192	0	0	0	0	0.00714	0	0	0	0	0.01052	0.00059	0	0	0.00022	0.01153	0	0.01843	0.00037	0.01091	0.00336	0	0.0052	0	0	0.00523	0.0189	0.00518	0	0.00602	0	0.01277	0.64036	0.00123	0.00543	0	0	0.00369	0.01083	0.01858	0.00064	0.00128	0.00629	0	0.00917	0.00328	0.0013	0	0	0.01038	0	0	0	0.00711	0.00113	0	0	1.20181	0	0	0	0.00187	0.01317	0.00412	0	0.01119	0.05516	0	0.00066	0	0	0	0.02306	0	0	0	3e-04	0	0	0.0012	0.00302	0.04435	0	0.00197	0.00096	0	0.26646	0	0.00595	0	0.01865	0.00545	0.00584	0.00072	0	0.01018	0.00062	0.00936	0.00227	0	0.00396	0.00361	0	0	0.00069	0	0	0	0.07433	0	0	0	0.00946	0.03189	0.02095	0.02003	0	0.00587	0	0	0	0.0354	0	0.01763	0	0	0.00836	0	0	0.00666	0.00091	0.00144	0.00375	0.00088	0.22995	0	0	0.00023	0.00121	0.00109	0.00248	0	0.00042	0	0	0.08207	0.04418	0.00909	0	0.00258	0	0	0.00265	0	0.00584	0	0	0	0.00562	0	0.00055	0	0	0	0.00369	2e-04	0	0	0.00353	0	0.00272	0.00018	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii|t__Actinomyces_graevenitzii_unclassified	0.00372	0	0.0097	0	0	0.00135	0	0	0.02104	0	0	0	0	0	0	0	0.01346	0	0.00024	0.00887	0	0	0.00801	0	0	0	0.00305	0	0.0042	0.00028	0.01873	0	0	0.00916	0.00017	0.00688	0	0.00043	0	0	0.0028	0.83324	0.00274	0	0.00148	0	0.00828	0	0	0	0.00048	0.01412	0.01802	0	0.00749	0.03202	0	0	0	0	0	0.00357	0	0	0	0	0	0.01001	0.02115	0	0	0	0	0	0.00312	0	0.01026	0	0	0	0	0	0	0	0.00351	0	0	0.00366	0.00256	0	0	0	0	0	0	0	0.00325	0.00708	0.00064	0.01541	0	0.01799	0	0	0	0.01292	0	0	0	0	0	0	0	0.00615	0	0	0	0.00212	0	0.00303	0	0	0.00258	0	0.01322	0	0	0.00044	0	0	0	0	0	0	0	0	0	0	0	0	0.0037	0	0	2e-04	0.001	0	0	0	0	0	0.02358	0.00255	0	0	0	0	0	0	0.00113	0	0	0	0	0.01118	0	0	0	0	0	0	0	0.00126	0	0	0	0	0	0	0	0	0	0	0	0.10607	0.00192	0	0	0	0	0	0.00907	0	0	0	0	0	0	5e-04	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_sanguinis|t__GCF_000204335	0.00356	0	0.00836	0	0	0.00923	0.01391	0.00653	0	0	0	0	0	0	0	0.02247	0	0	0.00257	0.02585	0	0	0.00888	0.01307	0	0.02649	0	0.02814	0	0.01497	0.1012	0	0	0.02696	0	0.00026	0	0.01003	0.02398	0	0	0	0	0	0	0	0.0126	0.07911	0.0106	0	0.00597	0	0	0.00064	0.02449	0.0674	0.00973	0	0	0.00259	0.04533	0.02034	0	0	0.02652	0.01204	0.01535	0.05192	0	0	0.01723	0.03388	0.01533	0	0	0	0.00142	0.00744	0.00042	0.05409	0.00291	0	0	0.00564	0	0.00094	0.00681	0.03015	0	0	0.01175	0	0.02791	0.02318	0	0	0.02137	0.00928	0.13754	0.02301	0.00371	0.0061	0.06646	0.0046	0.00085	0.00959	0	0	0.02086	0	0.00649	0	0.04343	0.02031	0.03427	0.0057	0.00616	0.0801	0.02628	0	0	0.08732	0.01174	0	0.03784	0.00705	0.09065	0.00476	0	0	0	0	0	0	0.01453	0	0	0.01262	0	0.02125	0.01607	0.01412	0	0.00365	0.00121	0.00077	0	0.00304	0	0.01525	0.00389	0	0	0.003	0	0	0	0	0.0013	0	0	0.00335	0.00256	0	0.00342	0	0	0	0	0	0.0096	0.0034	0	0	0.00744	0	0	0.00029	0	0	0	0	0	0.01428	0.00517	0	0	0.00592	0	0.00212	0.00162	0	0	0.0041	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified	0.00339	0.00705	0	0.0245	0	0	0	0.00362	0.00504	0	0.00898	0	0.01516	0	0	0.01637	0.42687	0.02201	0.03945	0	0.01842	0	0	0	0	0	0	0	0	0	0	0	0.00223	0	0	0.00388	0	0	0	0	0	0.16549	0.06263	0	0	0	0.00606	0.00084	0.00201	0	0.00346	0	0.00827	0.00144	0	0	0	0	0.01143	0.01354	0	0	0.01072	0.00496	0	0	0.00727	0	0.00261	0	0	0	0	0	0	0.01073	0	0.00243	0	0.01791	0	0	0	0.00599	0.01376	0	0.00129	0	0.00941	0.01159	0	0	0	0.00262	0	0	0	0	0.00105	0.002	0.02403	0.01825	0	0	0	0.00778	0	0	0.00317	0	0	0	0.00234	0.00267	6e-04	0.00062	0.00485	0.001	0	0.00165	0	0.00062	0	0.00159	0.00565	0.00455	0.00119	0	0	0.01106	0	0.00722	0	0.00182	0.02107	0.03293	0	0	0	0	0	0	0.18629	0.0202	0.01824	0.00264	0	0.00251	0	0.00623	0.01124	0	0	0	0	0	0.00557	0	0.00811	0	0.00347	0.04938	0	0.00065	0	0.0039	0.00144	0.00116	0.00897	0.001	0.00721	0	0.00169	0.00282	0	0	0	0	0.0013	0.0475	0	0.00966	0	0.00155	0	0	0.00143	0.00333	0	0	0	0.00722	0.00491	0	0	0.0122	0	0.00095	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus|t__Ruminococcus_albus_unclassified	0.00333	0	0	0	0	0.00081	0	0.00222	0	0	0.00613	0.00305	0	0.00442	0.01448	0.00083	0.00041	0	0	0.00098	0.00053	0	0	0	0.00448	0	0.00832	0	0	0	0.02274	0.00051	0	0.00372	0	0.00842	0	0	0	0	0	0	0	0.00033	0.00159	0.00118	0	0.00071	0	0.00166	0	0	0	0	0.01193	0	0	0.00064	0	0	0	0	0	0	0.00681	0	0	0.00934	0	0	0.00068	0.02396	0	0	0	0.00469	0	0.00139	0	0.01539	0.00067	0	0	0	0	0	0.00747	0.00147	0	0.01983	0	0.0228	0	0	0.00042	0.00689	0	0	0	0	0	7e-04	0	0.00336	0	0.00138	0	0	0.00227	0	0.00472	0	0.00074	0	0	0.00289	0	0	0	0	0	0	0.00014	0	0	0	0	0.00253	0	0	0.00899	0.00044	0	0	0	0	0	0.00115	0	0.00636	0.00171	0.00265	0	0.00068	0	0	0	0.00387	0	0.00158	0	0	0	0.00558	0	0	0.0026	0.0047	0.00132	0.00088	0	0	0	0.00083	0.01552	0	0	0.03554	0	0	0	0.00462	0	0.00048	0.00318	0.00087	0.00446	0.0025	0.01002	0.00659	0.00631	0.00869	0.01228	0	0	0	0.00592	0.00107	0.00499	0	0.00771	0.02805	0.01045	0	0	0.00061	0.00541	0.00128	0.00133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA|t__GCF_000218425	0.00301	0	0	0	0	0	0	0	0	0	0.00148	0	0	0	0	0	0.00555	0	0.01142	0.00493	0	0	0	0.03545	0	0	0	0.00589	0	0	0	0	0	0	0.00135	0.06962	5e-04	0	0	0	0.21454	0	0	0	0	0	0	0.01517	0	0	0	0	0.0093	0	0	0	0.02958	0.0378	0	0	0	0	0.0984	0	0	0	0	0.04829	0	0	0	0	0	0	0.00207	0	0.09404	0.00435	0	0	0	0.00574	0	0	0	0	0	0	0.03082	0	0.00029	0	0	0.00078	0	0	0	0.00025	0	0	0	0.01112	0	0	0	0.00588	0	0	0	0	0	0	0	0.00281	0	0	0	0	0	0	0	0.00906	0.01538	0.00087	0	0.00025	0	0	0	0	0	0	0	0	0.00443	0	0	0	0	0.00563	0	0	0.05312	0	0	0	0.1285	0	0	0	0.02782	0	0	0	0	0	0.40052	0	0	0	0	0	0	0	0.00186	0.00676	0	0	0	0	0.00207	0	0	0	0	0	0	0	0.02423	0	0.01108	0	0	0	0.08158	0	0	0	0	0.04935	0	0	0	0	0	0.0057	0	0.00159	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified	0.00233	0	0	0	0	0.05149	0.0015	0	0	0	0.00268	0.00201	0	0	0.00121	0	0	0	0	0	0	0	0	0	0.00087	0	0.00604	0	0	0	0.00041	0.00158	0.00116	0.00024	0	0	0	0	0	0	0	0	0.00697	0	0.00126	0	0	0	0.01066	0	0	0	0	0.00071	0.01228	0.00126	0	0	0	0	0	0	0	0.00032	0.00154	0.00663	0	0	0	0	0	0.00122	0	0	0.00337	0.0013	0	0	0	0	0.00028	0	0	0	0	0	0.0217	0	0	0	0	0.00575	0	0	0.00176	0.00069	0	0	0	0	0	0	0	0	0	0.00033	0	0	0	0	0	0	0.00089	0.00596	0.00449	0	0	0	0	0	0.00983	0	0	0	0	0.00133	0	3e-04	0	0	0	0	0	0	0.00182	0	0	0.0019	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01068	0	0.00068	0	0	0.00106	0	0	0	0	0.00082	0.00081	0	0	0.003	0	0	0	0.00065	0	0	0	0	0	0.00068	0.00527	0.00156	0.00024	0.00024	0	0	0	0	0	0	0	0	0	0.00158	0	0	0	0.00087	0.00118	0.00192	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens|t__Prevotella_disiens_unclassified	0.00222	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273	0.00557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16|t__GCF_000177015	0.00218	0	0.00036	0	0.00561	0.00797	0	0	0.05339	0	0.00247	0.63314	0.00988	0.00117	0	0.00462	0.01545	0.00107	0.71698	0.00312	0.00225	0	0.00587	0	0.10101	0	0	0.05583	0.00283	0.00339	0.01041	0.00851	0	0.00344	0.00724	0.00228	0.07397	0	0	0	0.00106	0.03917	0.13827	0.00139	0	0.08365	0	0	0.0028	0.00171	0.01882	0.00751	0.00172	0.00125	0.00061	0.00088	0.013	0.00045	0.04286	0.21401	0	0.00186	0.00895	0.00515	0	0.00101	0.00261	0.01216	0.00254	0.00677	0.00134	0.00186	0.00995	0	0.00186	0.00251	0.0073	0.00878	0.00314	0	0	0.51544	0	0.03543	0.01186	0.00229	0	0.00239	0.00441	0	0.00892	0	0.00034	0.00323	0	0	0.01367	8e-05	0.15067	0.00394	0.00289	1.12895	0	0.0309	0	0.00218	0	0.01251	0.00725	0.00079	0.0011	0	0	0.00481	0.00122	0.00149	0.0087	0.00845	0.01757	0.17281	0.02042	0.00312	7e-04	0.00838	0.00834	0.00127	0.03584	0.00119	0	0.09594	0.00154	0.00775	0	0	0.01482	0.3584	0.00395	0.00951	0.00025	0.00049	0.00051	0	1.01729	0.00262	0.0617	0.0016	0.07151	0.13043	0	0.00162	0	0.00253	0	0.00337	0.00181	0.00642	0.24902	0.07529	0.01797	0.00201	0.00064	0.00015	0.37673	0.00375	0.10746	0.0087	0.00016	0	0	0.00029	0.00061	0.36941	0.00291	0.00977	0.01872	0.0175	0.00292	0.37626	0.00249	0.05822	0.0117	0.00232	0	0.00349	0.00041	0.01033	0	0.00481	0.00347	0.01102	0.01393	0.00864	0.00324	0.00019	0.00859	0.1704	0.03083	0.91935	0.01109
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis|t__Streptococcus_vestibularis_unclassified	0.00217	0.00357	0.03743	0	0.03504	0	0.00445	0	0.01624	0.02909	0.12433	0.00801	0	0.01968	0.00439	0.01304	0	0.01271	0.01579	0.05808	0	0	0.03817	0.02519	1.12795	0.00292	0	0.0069	1.88734	0.01089	0.30511	0	0	0	0	0.02169	0	0.02786	0.03089	0	0	0	0	0.00287	0.00278	0	0	0.03831	0	0	0	0	0.01837	0.0121	0.02746	0.02435	0	0	0	0	0.0075	0.00203	0.02298	0	0	0.01583	0.0291	0.00868	0.03796	0	0.00154	0.03528	0.05788	0	0.02145	0	0.02725	0	0.03239	0.01326	0.10008	0	0.11091	0.00685	0	0	0.00834	0.01779	0.04778	0	0.06768	0	3.69846	0.04431	0.01577	0	0	0	0	0.01415	0	0.03175	0.04014	0.00741	0	0.00989	0.04561	0	0.00716	0	0.03468	0	0.0069	0	0	0	0.00232	0.00767	0.00188	0	0.01296	0.01181	0	0	0.0153	0	0	0.00633	0	0	0	0	0	0	0	0	0	0.0906	0	0.09128	0.79346	0.0075	0	0.00431	0	0	0	0	0	0.0022	0	0.00358	0	0.01598	0.01818	0.00147	0	0	0	0	0.00449	0	0.19676	0	0	0	0	0	0	0	0	0.00371	0	0	0.00869	0.00202	0	0	0	0.00317	0.00347	0	0	0.03698	0	0.01175	0.00761	0.00561	0	0	0	0	0.00134	0.07883	0.00436	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname|s__Eubacterium_infirmum|t__GCF_000242675	0.00213	0	0.00015	0	0	0.00596	0.0048	0	0.00105	0	0	0	0	0	0	0.00068	0.00085	0	0.00012	0.00043	0	0	0.00221	0	0.22564	0	0	0	0	0.00154	0.01967	0	0	0.00464	0.03957	0	0	0	0	0	0	0	0	0	0.00112	0	0	0.01858	0	0.00132	0	0	0	0.00028	0.00769	0	0	0	0	0.01246	0	0.00176	0.00035	0	0.00233	0.00016	0.00132	0.0022	0.01801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00141	0	0	0.00375	0	0	0	0.00045	0	0	0	0	0	0.00034	0.00689	0	0.00036	0	0	0.00237	0	0	0	0	0	0.00159	0	0.00312	0	0.0065	0.00327	0	0	1e-04	0	0	0	0	0.00023	0.00118	0	0	0.00366	0.00496	0	0	0	0	0	0	0	0	0	0	0.00053	0	0.00494	0.00018	0.00018	0	0.00278	0	0	0	0	0	0	0	0	0	0	0	0	0.00113	0	0	0	0	0	0	0.00015	0.00043	0	0	0	0	0.00809	0.00466	0.00627	0	0	0	0	0	0	0	0	0	0	0	0	0.00106	0	0.00051	0	0.00044	0	0	0	0.0055	0.00147	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3|t__GCF_000242195	0.00195	0	0.00249	0.00785	0.01193	0	0	0	0.22535	0	0.0106	0.0013	0.00062	0	0	0	0.00428	0	0.006	0.00536	0	0	0.00366	0.00713	0.00147	0.6738	0	0.00601	0	0.00277	0.02147	0	0	0.00139	0.00129	0.00138	0.01791	0.00346	0	0	0.06686	0	0	0.00117	0.00389	0.005	0.00564	0.00074	0.00034	0	0.00292	0.00669	0	0.00456	0	0.01032	0.01286	0	0	0.00792	0	0.01241	0.01571	0.0026	0	0.00301	0.00475	0.00236	0.04616	0.02096	0	0.01011	0.04526	0	0.011	0.00267	0	0	0.0015	0	0.00664	0.00051	0.01232	0.00737	0	0	0	0	0.01018	0	0.01179	0.00831	0	0	0.03975	0.20145	0	0.01266	0.00917	0.00089	0	0.01923	0	0.06284	0	0.00033	0	0	0.00638	0	0.00136	0.00264	0.00233	0.10629	0.00041	0.01337	0	0.00036	0.0123	0	0	0.00172	0.03628	0.00348	0	0	0.00055	0.01097	0.00165	0	0	0.00078	0	0	0	0	0	0.00019	0.00108	0.01949	0.00255	0	0	0.00079	0.00275	0.00116	0.00418	0.00618	0	0.00206	2e-04	0.00086	0	0	0	0.00466	0.01016	0.01121	0.01618	0	0.00028	0.00063	0	0.00029	0.02581	0.01132	0.00167	0.00173	0	0	0.00504	0.01207	0.00568	0	0.00161	0.00093	0	0	0	0	0.01473	0.00272	0.00015	0.00199	0	0.00535	0	0	0.00014	0.00363	0.06535	0.00305	0.01032	0	0	0.00183	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0.00146	0	0.01871	0	0.00042	0.00078	0.00284	0.0037	0.00095	0	0.01401	0.00351	0	0.01323	0	0.00554	0.0032	0.0314	0.01524	0.0202	0	0	0.01013	0.00079	0.00692	0	0.06495	0.00062	0.00356	0.0091	0.03186	0	0	0	0	0.00776	0	0.01422	0.01132	0.00285	0.0337	0	0	0	0.00178	0	0.0041	0.01437	0	0.00657	0.04882	0.00312	0	0.00432	0.0087	0.00089	0.02465	0.00802	0.00042	0.00846	0	0.00292	0.02426	0	0.00249	0.00595	0	0.00168	0.00597	0	0	0.0085	0	0	0	0.00107	0.00359	0.00158	0	0	0.00314	0.06241	0	0.0053	0	0	0.00705	0.00691	0.01895	0	0.02304	0.00225	0.07681	0.00458	0	0	0	0.02469	0.00476	0.01162	0.00098	0	0.01531	0.00513	0	0.00097	0	0.01884	0.00448	0	0.00136	0	0.00422	0.00809	0	0	0.00319	0	0.00322	0	0	0.0022	0.01274	0.03909	0.00674	0.00361	0.00169	0	0	0.00046	0	0.0039	0.00064	0	0.04065	0	0	0.02151	0	0.0304	0.02583	0	0.00023	0.00304	0	0	0	0	0	0.00752	0.03347	0.0049	0	0	0.14344	0.01694	0.0031	0	0.00321	0	0	0.00017	0.01575	0.00357	0.00322	0	0	0	0	0.00172	0	0.00661	0	0	0.00751	0.00266	0	0	0	0	0	0	0	0.01471	0	0	0	0	0.00367	0.05242	0	0	0.00025	0.06309	0.00284	0.00383	0.00064	0.00128	8e-04
