non_westernized	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes
DNA_extraction_kit	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen	Qiagen
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy	0	0	0	0	0	0.0021	0	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans	0	0	0	0	0	0.00045	0.00396	0	0	0.01765	0	0	0	0	0	0	0.01468	0	0	0	0	0.00497	0	0	0	0.00296	0	0	0	0	0	0.01127	0	0.01291	0.04037	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Enterobacteria_phage_phiP27|t__PRJNA14599	0	0	0	0	0	0.23099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bifermentans|t__Clostridium_bifermentans_unclassified	0	0	0	0	0	0.04252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_paraphrohaemolyticus|t__GCF_000260675	0	0	0	0	0	0.03924	0	0	0	0.00943	0	0	0	0	0	0	0.0752	0	0	0	0	0.00204	0	0	0	0.00236	0	0	0	0	0	0.1612	0	0.09403	0.11326	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae|t__Enterococcus_hirae_unclassified	0	0	0	0	0	0.03588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus|t__GCF_000262285	0	0	0	0	0	0.01267	0	0	0	0.00276	0	0	0	0	0	0	0.0374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01335	0.04327	0	0.02746	0.04007	0.00753	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae|t__GCF_000479045	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_baumannii|t__Acinetobacter_baumannii_unclassified	0	0	0	0	0	0.00498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_brachy|t__GCF_000488855	0	0	0	0	0	0.0021	0	0	0	0	0	0	0.0047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_elegans|t__GCF_000162475	0	0	0	0	0	0.00045	0.00396	0	0	0.01765	0	0	0	0	0	0	0.01468	0	0	0	0	0.00497	0	0	0	0.00296	0	0	0	0	0	0.01127	0	0.01291	0.04037	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0	0	0	0	0	0.09461	0.00337	0	0	0	0.24233	0	0.17923	0	0.0145	5.74316	0.86737	0	0	0	0	0	0.00247	0	0.5559	0.01541	0	0.00701	0	0	0	0.00345	0.00262	0.36833	0	0.93136	9.78149	0.1181	3.77151	0.18292	0	0.13379	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0	0	0	0	0	0.09461	0.00337	0	0	0	0.24233	0	0.17923	0	0.0145	5.74316	0.86737	0	0	0	0	0	0.00247	0	0.5559	0.01541	0	0.00701	0	0	0	0.00345	0.00262	0.36833	0	0.93136	9.78149	0.1181	3.77151	0.18292	0	0.13379	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0	0	0	0	0	0	0.00538	0	0	0	0	0.03513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00953	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0	0	0	0	0	0	0.00035	0.00153	0.00069	0	0.00026	0	0	0.01674	0	0	0.0093	0	0	0	0	0	0	0	0	0.11493	0	0	0	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0.09461	0.00337	0	0	0	0.24233	0	0.17923	0	0.0145	5.74316	0.86737	0	0	0	0	0	0.00247	0	0.5559	0.01541	0	0.00701	0	0	0	0.00345	0.00262	0.36833	0	0.93136	9.78149	0.1181	3.77151	0.18292	0	0.13379	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0	0	0	0	0	0	0.09356	0	0	0	1.51383	0.22442	0.4155	1.78249	0	0	0	0.23826	0.65539	1.68583	0.02405	0.22286	0.03325	0.36032	0.42116	0	0.01274	0	0	0	0	0	0	0	0	0.48986	0	6.96276	0.63401	0.21806	0.04458	0	0	0.93501
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia	0	0	0	0	0	0	0.04075	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02666	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	0	0	0	0	0	0	0.03282	0	0	0	0	0	0	0	0	0.38798	0	0.00157	0	0	0	0.00464	0	0	0	0	0	0.00203	0	0	0	0	0	0	0.15012	0	0	0	0	0	0.34703	0	0.00343	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0	0	0	0	0	0	0.00674	0.00224	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0.00314	0	5e-04	0.00356	0	0	0	0	0	0	0	0.00054	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	0	0	0	0	0	0	0.00538	0	0	0	0	0.03513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter	0	0	0	0	0	0	0.0047	0	0	0.00902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella	0	0	0	0	0	0	0.00178	0	0	0	0	0	0	0	0	0.03278	0	0	0	0	0	0	0	0	0	0	0	0.00658	0	0	0	0	0	0	0.00203	0	0.07834	0.02067	0.00495	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella	0	0	0	0	0	0	0.00072	0.00036	0.0069	0	0	0	0.00286	0.01791	0	0.06177	0.017	0	0	0.00161	0	0	0	0	0	0.31202	0	0.00027	0	0	0	0	0.02198	0	0	0	0	0	0.04856	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00953	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter	0	0	0	0	0	0	0.00049	0.04631	0	0.00556	0	0	0	0	0	0.6534	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00213	0	0	0	0	0.00359	0	0	0	0.11765	0.00709	0	0	0	0.00438
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname	0	0	0	0	0	0	0.00035	0.00153	0.00069	0	0.00026	0	0	0.01674	0	0	0.0093	0	0	0	0	0	0	0	0	0.11493	0	0	0	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_albertii	0	0	0	0	0	0	0.22501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	0	0	0	0	0	0.09356	0	0	0	1.51383	0.22442	0.4155	1.78249	0	0	0	0.23826	0.65539	1.68583	0.02405	0.22286	0.03325	0.36032	0.42116	0	0.01274	0	0	0	0	0	0	0	0	0.48986	0	6.96276	0.63401	0.21806	0.04458	0	0	0.93501
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Streptococcus_phage_EJ_1	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0.04721	0	0	0	0	0	0	0	0	0	0	0.04022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17482	0	0	6.15555	0	0	0	0	0.03259	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0	0	0	0	0.04706	0	0	0	0	6e-04	0	0.0108	0	0.0145	5.69855	0.06126	0	0	0	0	0	0.00247	0	0.5559	0.00278	0	0.00511	0	0	0	0	0	0.00412	0	0.90662	3.62594	0.1181	0.93894	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0.04147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64677	0	0	0	0	0	7.06365	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	0	0	0	0.03325	0.02582	0	0	0	0	0.26981	0	0	0	1.1855	0	0	0	0	0	0	0.10045	1.36406	0	0	0	0	0	3.42842	0	0	0	0	0	0	1.96997	6.8882	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified	0	0	0	0	0	0	0.03282	0	0	0	0	0	0	0	0	0.38798	0	0.00157	0	0	0	0.00464	0	0	0	0	0	0.00203	0	0	0	0	0	0	0.15012	0	0	0	0	0	0.34703	0	0.00343	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_unclassified	0	0	0	0	0	0	0.02387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02666	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0	0	0	0	0	0	0.0202	0.04029	0	0	0	0.02095	0	0.08304	0	0.05727	0	0	0	0	0	0	0	0.12404	0.12656	0.00054	0	0.01381	0	0	0.01165	0	0.02033	0	0.00159	0.08906	0	0.09375	0	0.06812	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_alcalifaciens	0	0	0	0	0	0	0.01687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_unclassified	0	0	0	0	0	0	0.01221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	0	0	0	0	0	0	0.00893	0	0	0.00454	0.02883	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0.00591	0	0.0031	0	0.01074	0	0.01205	0.01091	0	0	0	0	0.00696	0	0	0.00079	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum	0	0	0	0	0	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07586	0	0	0	0	0	0.04084	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum	0	0	0	0	0	0	0.00674	0.00224	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0.00314	0	5e-04	0.00356	0	0	0	0	0	0	0	0.00054	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis	0	0	0	0	0	0	0.0066	0.00064	0	0	0	0	0	0	0	0	0.34956	0.0037	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0.00618	0	0.00072	0	0	0	0	0	0.06094	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified	0	0	0	0	0	0	0.00538	0	0	0	0	0.03513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	0	0	0	0	0	0	0.0047	0	0	0.00902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	0	0	0	0.00219	0	0	0	0	0.27977	0.25008	0	0	0	0	0	0	0	0	0	0	0.67143	0.04144	0	0	0	0	0	6.698	0	0	0	0	0	0	0	4.39286	0	0	0	0	0.07773
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified	0	0	0	0	0	0	0.00178	0	0	0	0	0	0	0	0	0.03059	0	0	0	0	0	0	0	0	0	0	0	0.00658	0	0	0	0	0	0	0.00203	0	0.07162	0.02067	0.00495	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	0	0	0	0	0	0	0.00072	0.00036	0.0069	0	0	0	0.00286	0.01791	0	0.06177	0.017	0	0	0.00161	0	0	0	0	0	0.31202	0	0.00027	0	0	0	0	0.02198	0	0	0	0	0	0.04856	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	0	0	0	0	0	0	0.00069	0	0	0	0.00432	0	0	0	0	0	0.00551	0	0	0	0	0	0	0	0	0.00051	0	0	0	0	0	0	0	0	0.00401	0	0.00264	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0	6e-04	0	0	0.07199	0.00027	3.30535	0.08763	0	0	0.01798	0	0	0	0	0	0.02289	0	0	0	1.00524	0.0257	0.2403	0	0	3.20546	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00953	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0	0	0	0	0	0	0.00054	0	0.00456	0.04354	0	0.13745	0.00662	0	0	0	0.08862	0.00442	0.19271	0.01255	0	0.03686	0.01068	0	0.006	0.26956	0.00389	0.04196	0	0	0.10192	0	0	0	0.00024	0.00543	0	0	0	0	0.00572	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii	0	0	0	0	0	0	0.00049	0.0189	0	0.00556	0	0	0	0	0	0.22337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0.06604	0.00555	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0.00035	0.00153	0.00069	0	0.00026	0	0	0.01674	0	0	0.0093	0	0	0	0	0	0	0	0	0.11493	0	0	0	0	0	0	0.00438	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0	0	0	0	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10121	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified	0	0	0	0	0	0	2.09412	0.57415	0	0	0	0.00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714	0	0.15471	0	0.04883	0	0	0.12114	0.35643	0.01398	0	0	0	0.08861
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_albertii|t__Escherichia_albertii_unclassified	0	0	0	0	0	0	0.22501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	0	0	0	0	0	0	0.09356	0	0	0	1.51383	0.22442	0.4155	1.78249	0	0	0	0.23826	0.65539	1.68583	0.02405	0.22286	0.03325	0.36032	0.42116	0	0.01274	0	0	0	0	0	0	0	0	0.48986	0	6.96276	0.63401	0.21806	0.04458	0	0	0.93501
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Streptococcus_phage_EJ_1|t__PRJNA14604	0	0	0	0	0	0	0.068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435	0	0	0	0	0	0	0.04721	0	0	0	0	0	0	0	0	0	0	0.04022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17482	0	0	6.15555	0	0	0	0	0.03259	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	0	0	0	0	0	0	0.04706	0	0	0	0	6e-04	0	0.0108	0	0.0145	5.69855	0.06126	0	0	0	0	0	0.00247	0	0.5559	0.00278	0	0.00511	0	0	0	0	0	0.00412	0	0.90662	3.62594	0.1181	0.93894	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22|t__GCF_000162155	0	0	0	0	0	0	0.04147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64677	0	0	0	0	0	7.06365	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895	0	0	0	0	0	0	0.03325	0.02582	0	0	0	0	0.26981	0	0	0	1.1855	0	0	0	0	0	0	0.10045	1.36406	0	0	0	0	0	3.42842	0	0	0	0	0	0	1.96997	6.8882	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus|t__GCF_000231275	0	0	0	0	0	0	0.0202	0.04029	0	0	0	0.02095	0	0.08304	0	0.05727	0	0	0	0	0	0	0	0.12404	0.12656	0.00054	0	0.01381	0	0	0.01165	0	0.02033	0	0.00159	0.08906	0	0.09375	0	0.06812	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Providencia|s__Providencia_alcalifaciens|t__Providencia_alcalifaciens_unclassified	0	0	0	0	0	0	0.01687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified	0	0	0	0	0	0	0.00893	0	0	0.00454	0.02883	0	0	0	0	0	9e-04	0	0	0	0	0	0	0	0	0	0	0.00591	0	0.0031	0	0.01074	0	0.01205	0.01091	0	0	0	0	0.00696	0	0	0.00079	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Clostridium_ramosum|t__GCF_000154485	0	0	0	0	0	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07586	0	0	0	0	0	0.04084	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium|s__Atopobium_parvulum|t__GCF_000024225	0	0	0	0	0	0	0.00674	0.00224	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0	0	0.00238	0	0	0	0	0	0.00314	0	5e-04	0.00356	0	0	0	0	0	0	0	0.00054	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis|t__GCF_000165735	0	0	0	0	0	0	0.0066	0.00064	0	0	0	0	0	0	0	0	0.34956	0.0037	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0.00618	0	0.00072	0	0	0	0	0	0.06094	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055	0	0	0	0	0	0	0.0047	0	0	0.00902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis|t__Bacteroides_massiliensis_unclassified	0	0	0	0	0	0	0.00219	0	0	0	0	0.27977	0.25008	0	0	0	0	0	0	0	0	0	0	0.67143	0.04144	0	0	0	0	0	6.698	0	0	0	0	0	0	0	4.39286	0	0	0	0	0.07773
