	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	15.25265	7.94794	0.00033	15.41858	26.38766	40.27854	30.06345	10.05657	20.32235	14.26648	25.72901	1.74378	20.32332	6.79755	1.21719	18.18366	1.86328	22.37254	26.96124	22.51901	43.6694	33.85033	28.06773	17.46168	1.65564	46.88749	0.91687	4.01606	17.80535	12.40984	17.00768	17.52004	0.03193	12.58307	1.62099	15.18765	3.06511	16.55661	0	0.09924	20.46276	0.1986	7.66387	0	7.20487	0.8331	1.59963	20.23042	0.52365	10.71319
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	11.06618	56.92989	0.35635	30.4477	34.43804	23.32919	11.118	20.62488	17.08237	32.73614	17.58971	68.51093	49.79855	34.16981	5.61695	10.69622	17.98072	30.54004	20.06264	22.45113	13.10058	8.56195	13.753	19.25493	8.21544	23.39564	1.32206	11.73601	22.41443	34.06845	49.65339	43.85608	0.07198	38.88258	14.759	42.42302	27.04614	18.04648	0.00089	0.06409	31.37722	22.0565	49.84871	0.564	30.51194	48.25766	11.72084	16.87554	5.59522	40.85374
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	9.31592	2.52903	4.56496	2.99442	2.3238	3.11524	7.65869	8.21705	5.93661	7.80499	11.16386	3.05194	19.99206	9.68114	0.86363	3.04809	1.71314	4.32551	7.8443	13.44622	7.45735	2.18156	17.67967	3.72505	9.30199	3.99556	0.29503	1.71721	7.55741	3.73277	2.55326	3.17599	0	5.12386	8.12666	3.81013	3.00471	4.26207	0	24.97362	7.35111	0.55575	3.52666	3.90721	11.21271	4.5802	1.67744	5.83103	0.26549	7.18442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.78796	0.00668	0.63705	0.30371	11.88219	4.9448	0.13287	0.27557	0.53426	0.0086	0.16275	0.18837	0.06555	1.39379	3.14269	1.22533	0	0.08424	0.30605	0.08129	0.2295	1.47612	0.16037	0.54969	2.69783	0.98212	0.20495	0.00301	3.82788	0.46072	0	0.0045	0.00041	3.48771	8.05257	4.58619	2.31333	1.37918	0.04099	0.01644	4.13644	0.39786	0.11101	0.00368	0.11275	1.41928	6.30486	0.90003	0.02017	0.62747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.68861	2.46504	0.19365	0.73705	1.81807	0.66106	0.4592	3.38037	2.74754	4.60993	2.58712	4.69012	0.85503	1.2248	0.73998	2.29715	0.19668	1.48368	1.30446	0.61551	0.45505	0.57723	1.32443	2.51394	3.34732	0.22197	0.03694	0.07174	1.28441	1.67985	3.7417	3.36141	0.00085	3.73775	0.7415	0.99992	0.23105	0.48106	0.02724	0.12602	4.2916	2.7881	4.77405	3.39429	4.73341	0.5438	1.00799	0.85573	5.16334	1.53931
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	1.58793	9.82567	0	0.15697	0.73374	0.4436	2.94374	0.23369	0.60012	0.35806	2.29926	0.76121	0	0	0.10897	0.20693	1.27198	2.134	0	0.10837	0.89621	0.00793	0.24689	0.05597	4.29124	0.02601	0.0392	3.30105	0.15426	0.10628	0	0	0	0.49096	4.10174	0.00208	0.50292	4.86029	0	0	0	0.00421	0.4705	0.00631	0.11545	0.08751	1.07788	0	5.76689	0.48873
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.82264	0.00121	0.06439	0.03115	0	0	0	3.42361	0	0.19109	0.15697	0.02417	2.79826	9.22591	0.03684	0.00232	10.49947	0	1.41242	0.08141	0.02317	0	0.67273	0	8.73167	0.02004	0.28501	2.35256	0	0	0.39805	0.54062	0	0	0.00655	2.04221	0.07508	0.29547	0.40108	0	1.32709	5.17481	0.03625	5.35031	0.00051	0.0939	0.51777	1.59423	7e-05	5.37791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.53481	0.17401	0	0.00751	0.03193	0.02346	0.00729	0.06575	0.00825	0.08873	0.00199	0.10749	0.003	0.04501	0.00759	0.01042	0.01463	0.02134	0.01072	0.02168	0.0135	0.01217	0.02371	0.07501	0.02813	0.02168	0	0.00946	0.01038	0.08189	0.0509	0.03737	0	0.0494	0.00922	0.01789	0.00256	0.01264	0	0	0.0429	0	0.06783	0	0.05612	0.03845	0	0.01377	0	0.02581
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.52939	0	0.00367	0.02092	0.03349	0.03445	0	0.02938	0	0.02434	0.01969	0	0.31156	2.79039	0.01199	0	7.87133	0	1.21785	0	0.26234	0	11.87308	0	8.355	0	0.07035	0.23432	0	0	4.85607	5.80305	0	0	0	2.04547	0.13436	0.00093	0	0	0.18899	0.2981	0	0	0.11139	0.0382	0	3.81934	0.00073	0.74535
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.38382	0.03513	0.01664	0.40892	0.04455	0.11276	0	0.06395	0.01566	0.13536	0.2448	0.03415	1.30462	1.05538	0.01596	0.03134	7.83701	0.03959	1.67355	1.27065	0.02576	0.01511	2.71769	0.11777	11.51253	0.02064	0.05452	4.21776	0.00147	0	1.97821	2.89141	0	0.21259	0.07296	1.37854	0.1138	0.15755	0.4051	0	0.95257	1.99896	0.23553	1.18233	0.05744	0.06981	0.2763	1.99373	2.2275	0.45797
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.28478	0.04604	0.01261	0.22864	0.03098	0.06392	0.00325	0.20405	0.02152	0.41913	0.09687	0.18373	0.1013	0.10386	0.07601	0.14722	0.06739	0.04216	0.12264	0	0.03636	0.27162	0.082	0.03537	0.02908	0.01632	0.73305	0.06724	0.2252	0.20497	0.03892	0.05743	0.02273	0.07414	0.00724	0.02513	0.14337	0.03045	0.0279	0.23621	0.1486	0.01748	0.00112	0.07349	0.19371	0.04354	0.10883	0.08209	0.07144	0.10884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.25507	0.23849	0.00683	0.11768	0.18826	0.0723	0.17099	1.25048	2.35694	0.58931	0.13235	0.5839	0.04998	0.00961	0.04221	0.23605	0.03934	0.32552	0.06911	0.30094	0.04014	0.08614	0.15188	0.20534	0.04968	0.39429	0.18394	0	0.53081	0.74786	0.096	0.02833	0	0.38405	0	0.03585	0.00845	0	0	0.00848	1.16568	0.02299	2.97338	0.03212	0.66276	0.12889	0.0906	0.10631	0.22306	1.02737
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.21335	2.86545	0	0	0.18083	0.14912	0	0	0.16384	0.53103	0.06535	0.00686	0.00847	0.21521	0	0.41583	0.85809	0.21635	0.37386	0	0.01664	0	0.46374	0.01698	1.98703	0	0.00397	0.13131	0	0	0.0175	0.01312	0	0.1309	0.28009	0.25012	0.08992	0.00797	0	0	0	0.03267	0.00563	0	0	0.14329	0	0.07155	0.2888	0.2379
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname	0.09442	0	0.00035	0.01928	0.13473	0.81538	0	0.11147	0.3029	0	0.00118	0	0.40605	0.07085	0.01428	1.90772	0.11043	0.04938	0.08933	3.1557	0	0.00403	0	1.72497	0.01345	0.01315	0.00522	0	1.13801	0.1568	0.01811	0.02718	0	0.1057	0	0.04038	0.17469	0.05065	0	0	0.0892	0.06414	0.01768	0.0049	0.5134	0.17588	0	0	0.00571	3.30003
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae	0.07447	0.21008	88.2421	0.08063	0.08904	0.21657	0.03905	0.15539	0.15821	0	0	0.03739	0	0.00349	0.02297	0.14307	0	0	0	0.00161	0	0	0.11696	0	0	0	0.02895	0	0	0	0	0	0	0	0	0.00585	0.02181	0.0034	0	0	0	0	0	0	0	0	0	0	0.03136	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.04898	0	0.01718	0	0	0	1.10891	0	0.04066	0	0	0	0.03298	0	0.03136	0.03848	0.02796	0	0	0	0.00966	0.59389	0	0.5517	0.70256	0	6.12919	0.28511	0.72854	0.00746	0	0	0.29364	0.06363	0.00128	0.00071	0.1874	0.03691	0.04334	0.36631	0	0.00108	0	0.00044	0	0	0.28972	1.60442	0.0018	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.04324	0.05078	0.001	0.00213	0.00694	0	0.01562	0.12331	0.02146	0.06738	0.00157	0	0.00702	0.00794	0.00961	0.04674	0	0	0.03219	0.01439	0.00542	0.06841	0.00411	0	0.00581	0.00362	0.00819	0	0.06114	0.02348	0.00254	0.02778	0.01617	0.04098	0.00407	0.02401	0.03087	0.01754	0	0.05629	0.02625	0.00079	0.14734	0.01494	0.02951	0.00641	0.03697	0.0494	0.01033	0.04151
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.02736	0	0	0.38438	1.01946	2.75993	0	0.01791	0.00081	0.00158	0	0	0.19561	0.00616	0	0.54374	0.17784	0.36741	3.693	0.02156	0	0	0.00377	0.01824	0.14195	0.01181	0.01537	0.00268	1.96168	0.84812	0.23431	0.26443	0	0.03037	0	0.87167	0	0	0	0.14873	0	0.08187	0.01753	0.24379	2.1907	1.3195	0	0	0.04097	0.38666
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae	0.02063	0	0	0	0	0	0	0	0.00731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0.30292	0	0	0	0	0	0	0	0	0	0	0	0.00117	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	0.01679	0.01288	0.00533	0.03322	0	0	0.02543	0	0.00342	0	0	0	0	0	0	0.1062	0	0	0	0	0	0.1382	0	0	0.04212	0	0.96091	0	0.08849	0	0	0.00457	0.18562	0.03739	0	0	0	0.00178	0.00428	0.03393	0	0	0	0	0	0	0.02655	0.01118	0.00378	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.01164	0.03565	0.03069	0.19503	0.02394	0	0.00255	0.08179	0	0.00698	0.01794	0.01022	0.02778	0.06768	0	0	0.24794	0.0071	0.10037	0	0.01013	0	0.08697	0.01358	3.12463	0	0.1611	0.93487	0	0.02702	1.02373	1.04108	0	0.01226	0.00684	0.325	0.26442	1.11098	0.00578	0	0.00649	0.47005	0	0	0	0.04482	0.16378	0.12365	0.00063	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.00862	0	0	0	0	0	0	0	0	0	0	0.0289	0	0	0	0	0	0	0	0	0	0	0	0	0.00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.00491	4.11097	2.5345	1.49965	1.4633	0.82642	0.8164	3.54191	1.70879	2.42405	1.05336	7.3647	0.17767	1.15816	0.28914	6.3858	0.02869	1.94438	4.11404	1.28649	0.04675	2.04609	0.92709	4.28613	0.95324	6.25162	6.02216	0.74456	3.46006	2.89414	0	0	0.52532	4.27679	0.27552	3.97419	1.681	0.02721	0.05944	2.89136	2.47163	1.40789	4.222	5.83181	3.43648	18.22661	0.68309	1.23415	2.43317	4.33672
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.00423	0.16065	0.07282	0.34279	0.48645	0.51969	0.67275	1.50932	4.64911	2.09864	0.42297	0.48708	0.71331	0.36729	0.19512	2.95987	0.11438	2.39147	0.86522	1.39088	1.61019	1.83777	8.74687	1.03026	0.3051	0.36845	0.33847	0.26614	1.21434	1.44214	0.22483	0.28176	0	3.11999	0.11511	1.66916	0.82082	0.61505	0	0.36429	0.32062	0.1367	0.8817	0.15596	0.30142	0.15388	0.56865	1.86381	0.02128	1.32095
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	33.21976	0.00078	1.60553	1.4467	0	0.00035	0.00944	25.57744	9.54033	9.5321	2.8166	0.01069	0.00613	0.0264	1.03978	4.31223	4.05002	1.97714	8.50983	4.11772	0.06157	3.14428	3.36664	14.06598	2.47728	3.90294	0.34033	0.25654	3.83937	5.27382	1.79156	1.47081	81.39797	4.58144	0.15086	11.28582	4.31916	2.77192	97.58132	14.29102	13.31496	21.37896	1.45029	70.70659	7.61397	1.90961	10.73502	0.00545	62.15764	1.58934
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	22.69373	5.29565	0.55725	44.63383	17.44614	19.93925	42.84856	14.29418	31.51905	20.79462	34.86623	9.53989	2.57872	27.84938	85.5234	39.56526	0.41461	27.42319	18.72371	13.11114	31.47583	26.01392	4.39354	32.65912	8.02399	11.42627	1.62906	67.40908	31.90618	34.00551	14.9497	17.80972	0.03662	19.14304	55.72623	8.13573	55.63448	48.41466	0.0015	0.00092	5.89975	17.09276	15.01162	6.85234	30.49567	21.42908	59.55972	42.00848	0.65638	10.05037
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	15.25265	7.94794	0.00033	15.41858	26.38766	40.27854	30.06345	10.05657	20.32235	14.26648	25.72901	1.74378	20.32332	6.79755	1.21719	18.18366	1.86328	22.37254	26.96124	22.51901	43.6694	33.85033	28.06773	17.46168	1.65564	46.88749	0.91687	4.01606	17.80535	12.40984	17.00768	17.52004	0.03193	12.58307	1.62099	15.18765	3.06511	16.55661	0	0.09924	20.46276	0.1986	7.66387	0	7.20487	0.8331	1.59963	20.23042	0.52365	10.71319
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	10.29988	46.98525	0.31952	30.11069	31.16796	18.47677	9.81892	13.65208	12.20147	25.20391	17.02405	59.16867	40.13524	29.38996	5.43346	8.25025	9.73164	27.20624	17.89115	15.5145	11.16797	7.66088	10.92799	16.0373	5.67804	21.36471	0.79586	11.39336	16.98061	32.30011	48.73358	42.86094	0.06049	33.91414	13.62224	28.15491	26.78462	16.40731	0.00089	0.00305	24.7528	20.89436	34.63977	0.51207	24.22479	47.12039	11.12463	12.12341	3.40391	37.83752
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	4.72422	0.52039	0	1.19722	0.52779	1.10443	3.52758	2.54508	0.79361	0.34393	0.58149	0.06758	7.69357	3.75271	0.30234	0.11337	0.4239	0.26405	0.75419	0.56181	5.15761	0.95699	3.39829	1.09246	4.51766	0.61771	0.03146	0.76316	3.79907	0.58817	1.82676	2.27507	0	0.38771	4.90417	0.22167	0.53969	0.78142	0	0	0.90059	0.1897	0.19361	0	1.38446	1.54005	0.15294	0.78929	0.04384	3.23011
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2.40403	0.57234	3.75008	0.41409	0.75322	0.77401	0.69691	2.59267	1.1476	1.73119	5.14972	0.83024	7.98809	0.9162	0.09929	1.15577	0.62801	0.59527	1.78352	0.59556	0.67861	0.19412	2.51596	0.45208	1.40075	0.34213	0.05147	0.49688	0.74971	0.48643	0.23723	0.30118	0	0.70899	0.34116	0.38779	0.33617	0.34183	0	24.97362	1.69641	0.08589	1.36963	3.69769	1.46173	0.10182	0.91299	2.05408	0.14316	1.02642
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	1.78796	0.00668	0.63705	0.30371	11.88219	4.9448	0.13287	0.27557	0.53426	0.0086	0.16275	0.18837	0.06555	1.39379	3.14269	1.22533	0	0.08424	0.30605	0.08129	0.2295	1.47612	0.16037	0.54969	2.69783	0.98212	0.20495	0.00301	3.82788	0.46072	0	0.0045	0.00041	3.48771	8.05257	4.58619	2.31333	1.37918	0.04099	0.01644	4.13644	0.39786	0.11101	0.00368	0.11275	1.41928	6.30486	0.90003	0.02017	0.62747
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	1.66349	2.38735	0.19349	0.69078	1.79081	0.64831	0.4592	3.17577	2.65943	4.49698	2.57008	4.56552	0.85503	1.21414	0.73998	2.15137	0.17966	1.45715	1.28774	0.54917	0.45505	0.55447	1.3238	2.42224	3.32946	0.13551	0.03403	0.07174	1.26249	1.62165	3.70538	3.34756	0.00085	3.66516	0.7415	0.99992	0.23105	0.48106	0.02724	0	4.2916	2.71834	4.64669	3.19552	4.71547	0.54092	1.00671	0.85121	4.93332	1.51903
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	1.52911	9.81199	0	0.07878	0.73374	0.4436	2.94374	0.23369	0.60012	0.35806	2.29926	0.76121	0	0	0.10897	0.19219	1.27198	2.12799	0	0.1064	0.89621	0.00793	0.24689	0.04678	4.29124	0.02601	0.0392	3.30105	0.15343	0.09231	0	0	0	0.49096	4.10174	0.00208	0.50292	4.86029	0	0	0	0	0.4705	0	0.08267	0.08751	1.07788	0	5.76689	0.48873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	1.3848	0.48988	0.05538	0.64616	0.39265	0.42326	0.42794	1.46406	1.28741	2.00069	2.7764	0.67982	1.57157	0.48943	0.12056	0.62507	0.34655	0.72921	0.91226	0.81429	0.21515	0.51578	0.86247	0.732	2.73173	0.56049	0.02914	0.07572	1.52033	0.82851	0.20173	0.21324	0	2.56063	0.36758	0.21859	0.65197	0.36613	0	0	0.87372	0.2106	0.79629	0.1916	0.87202	0.16544	0.29773	1.18839	0.03968	0.54099
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.82264	0.00121	0.06439	0.03115	0	0	0	3.42361	0	0.19109	0.15697	0.02417	2.79826	9.22591	0.03684	0.00232	10.49947	0	1.41242	0.08141	0.02317	0	0.67273	0	8.73167	0.02004	0.28501	2.35256	0	0	0.39805	0.54062	0	0	0.00655	2.04221	0.07508	0.29547	0.40108	0	1.32709	5.17481	0.03625	5.35031	0.00051	0.0939	0.51777	1.59423	7e-05	5.37791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	0.73595	1.81863	0.03683	0.29583	1.19398	0.74941	0.4217	1.56448	1.07544	3.39595	0.55859	3.43462	0.45908	1.64342	0.15571	1.45162	2.36491	1.3479	0.88629	1.52948	0.36516	0.75212	0.21469	2.37056	0.48517	1.50495	0.06812	0.32354	1.17076	1.40052	0.77699	0.79485	0	3.39849	0.76932	0.90876	0.22829	0.34435	0	0.06104	1.15763	1.11288	10.94523	0.05193	5.54655	0.37999	0.59621	0.69752	2.19131	1.07203
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	0.62411	0.0622	0.75882	0.06885	0.02715	0.02003	1.55797	0.07043	0.13482	0.10977	1.64227	0	0.08384	0.02605	0.09528	0.101	0.08217	0.15332	0.047	0.02074	0.7742	0.09751	4.44241	0.01253	0.12511	0.03088	0.03642	0.29436	0.02984	0.09488	0.00088	0.02619	0	0.04127	0.04545	0.02012	0.07701	0.03576	0	0	0.15856	0.06214	0.04183	0.01792	0.00592	0	0.30366	0.53002	0.03555	0.07675
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter	0.53481	0.17401	0	0.00751	0.03193	0.02346	0.00729	0.06575	0.00825	0.08873	0.00199	0.10749	0.003	0.04501	0.00759	0.01042	0.01463	0.02134	0.01072	0.02168	0.0135	0.01217	0.02371	0.07501	0.02813	0.02168	0	0.00946	0.01038	0.08189	0.0509	0.03737	0	0.0494	0.00922	0.01789	0.00256	0.01264	0	0	0.0429	0	0.06783	0	0.05612	0.03845	0	0.01377	0	0.02581
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.52939	0	0.00367	0.02092	0.03349	0.03445	0	0.02938	0	0.02434	0.01969	0	0.31156	2.79039	0.01199	0	7.87133	0	1.21785	0	0.26234	0	11.87308	0	8.355	0	0.07035	0.23432	0	0	4.85607	5.80305	0	0	0	2.04547	0.13436	0.00093	0	0	0.18899	0.2981	0	0	0.11139	0.0382	0	3.81934	0.00073	0.74535
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.28478	0.03291	0.0086	0.22864	0.03098	0.06392	0.00325	0.20405	0.00737	0.28898	0.00501	0.18373	0.05671	0.10113	0.07601	0.09162	0	0.03143	0.04328	0	0.03636	0.24372	0.00761	0.03537	0.00803	0.01491	0.71538	0.06724	0.14987	0.20497	0.02035	0.024	0.0074	0.06606	0.00724	0.02513	0.11304	0.03045	0.0279	0.23621	0.09318	0.01748	0.00112	0.04272	0.19371	0.02284	0.08979	0.06432	0.07144	0.10884
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	0.27584	0.03513	0.01013	0.40219	0.04455	0.11276	0	0.05593	0.01566	0.13536	0.23864	0.03415	0.78734	0.5048	0.00474	0.03134	3.26843	0.03959	1.55561	1.18425	0.02576	0.01511	2.08315	0.11561	5.6523	0.02064	0.03421	0.95791	0.00147	0	0.84571	1.08019	0	0.20636	0.07296	1.07583	0.09555	0.09622	0.37815	0	0.43094	1.99825	0.23553	1.18233	0.05744	0.02607	0.27001	0.18477	2.22244	0.43825
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	0.25507	0.23849	0.00683	0.11768	0.18826	0.0723	0.17099	1.25048	2.35694	0.58931	0.13235	0.5839	0.04998	0.00961	0.04221	0.23605	0.03934	0.32552	0.06911	0.30094	0.04014	0.08614	0.15188	0.20534	0.04968	0.39429	0.18394	0	0.53081	0.74786	0.096	0.02833	0	0.38405	0	0.03585	0.00845	0	0	0.00848	1.16568	0.02299	2.97338	0.03212	0.66276	0.12889	0.0906	0.10631	0.22306	1.02737
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.20987	2.86545	0	0	0.17215	0.14912	0	0	0.11207	0.51747	0	0.00686	0	0	0	0.41583	0.4014	0.02214	0.37386	0	0	0	0	0	0.01384	0	0.00042	0	0	0	0.01361	0.0063	0	0.10973	0.01703	0	0	0	0	0	0	0	0.00563	0	0	0.14037	0	0.07155	0.18708	0.21285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.11723	0.88422	0	0.66042	0.57868	0.72152	1.2999	0.98841	1.73943	3.50514	0.07766	0.62584	2.42488	2.81717	0.05586	0.87273	0.2239	2.06678	0.35709	0.84072	0.47593	0.41717	0.26172	0.33661	0.52006	1.43131	0.08974	0.07725	0.75905	1.6988	0.24742	0.30621	0	1.3251	0.16792	2.79582	0.27744	0.29513	0	0	2.28807	0.00478	0.79519	0	1.80051	0.02431	0	1.17527	0.00325	1.90038
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella	0.09723	0	0	0.00673	0	0	0	0	0	0	0	0	0.51728	0.04303	0.01122	0	4.28193	0	0.00889	0.0864	0	0	0.23257	0	0	0	0.01518	2.8861	0	0	1.13249	1.64624	0	0	0	0.03066	0.01825	0.00112	0	0	0.08579	0	0	0	0	0	0	1.64649	0.00466	0.00465
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor	0.07478	0	0.00035	0	0	0	0	0	0	0	0.00118	0	0.01567	0	0	0	0.01002	0	0	0	0	0	0	0	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06414	0	0.00474	0	0	0	0	0.00571	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus	0.07447	0.21008	88.2421	0.08063	0.08904	0.21657	0.03905	0.15539	0.15821	0	0	0.03739	0	0.00349	0.02297	0.14307	0	0	0	0.00161	0	0	0.11696	0	0	0	0.02895	0	0	0	0	0	0	0	0	0.00585	0.02181	0.0034	0	0	0	0	0	0	0	0	0	0	0.03136	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0.06153	0	0.00068	0.00769	0.0132	0.00592	0.13939	0	0.17255	0.05321	0.93633	0	0.02309	0	0.04535	0.07081	0.00862	0.09495	0	0.02248	0.1287	0	6.19883	0	0.00668	0	9e-05	0	0.01825	0.01394	0	0	0	0.02367	0	0.00623	0.01982	0.00675	0	0	0.01879	0.00265	0.12922	0	0.00783	0	0.01011	0.03216	0	0.04499
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	0.05882	0.01368	0	0.07819	0	0	0	0	0	0	0	0	0	0	0	0.01475	0	0.00601	0	0.00196	0	0	0	0.00919	0	0	0	0	0.00083	0.01397	0	0	0	0	0	0	0	0	0	0	0	0.00421	0	0.00631	0.03278	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	0.04371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28466	0	0	0
