	CA_C10001IS2006FE_t1M15	CA_C10001IS2009FE_t2M15	CA_C10001IS2012FE_t3M15	CA_C10002MS2016FE_t0M15	CA_C10002IS2023FE_t2M15	CA_C10002IS2026FE_t3M15	CA_C10002IS2028FE_t4M15	CA_C10003MS2030FE_t0M15	CA_C10003IS2040FE_t3M15	CA_C10003IS2042FE_t4M15	CA_C10005MS2062FE_t0M15	CA_C10005IS2066FE_t1M15	CA_C10005IS2069FE_t2M15	CA_C10005IS2077FE_t4M15	CA_C10006IS2084FE_t1M15	CA_C10006IS2087FE_t2M15	CA_C10006IS2091FE_t3M15	CA_C10006IS2095FE_t4M15	CA_C10006IS2095FE_t5M16	CA_C10007MS2098FE_t0M15	CA_C10007IS2102FE_t1M15	CA_C10007IS2105FE_t2M15	CA_C10007IS2110FE_t3M15	CA_C10007IS2114FE_t4M15	CA_C10007IS2113FE_t5M16	CA_C10008IS2120FE_t1M15	CA_C10008IS2123FE_t2M15	CA_C10008IS2127FE_t3M15	CA_C10008IS2131FE_t5M16	CA_C10009IS2138FE_t1M15	CA_C10009IS2141FE_t2M15	CA_C10009IS2149FE_t4M15	CA_C10009IS2145FE_t3M16	CA_C10009IS2149FE_t5M16	CA_C10009MS2134FE_t0M15	CA_C10015IS2235FE_t3M15	CA_C10015IS2246FE_t1M15	CA_C10015IS2249FE_t2M15	CA_C10015MS2242FE_t0M15	CA_C10019IS2318FE_t1M15	CA_C10019IS2321FE_t2M15	CA_C10019IS2329FE_t4M15	CA_C10019IS2352FE_t3M15	CA_C10019MS2314FE_t0M16	CA_C10019IS2329FE_t5M16	CA_C10020IS2336FE_t1M15	CA_C10020IS2339FE_t2M15	CA_C10020IS2343FE_t3M15	CA_C10020MS2332FE_t0M15	CA_C10020IS2347FE_t4M15	CA_C10020IS2345FE_t5M16	CA_C10023IS2390FE_t1M15	CA_C10023IS2393FE_t2M15	CA_C10023MS2386FE_t0M15	CA_C10023IS2397FE_t3M15	CA_C10023IS2401FE_t4M16	CA_C10023IS2401FE_t5M16	CA_C10024IS2408FE_t1M15	CA_C10024IS2411FE_t2M15	CA_C10024IS2415FE_t3M15	CA_C10024IS2419FE_t4M15	CA_C10024IS2419FE_t5M16	CA_C10026IS2444FE_t1M15	CA_C10026IS2449FE_t2M15	CA_C10026IS2451FE_t3M15	CA_C10026MS2440FE_t0M15	CA_C10026IS2465FE_t4M16	CA_C10029IS2496FE_t1M15	CA_C10029IS2499FE_t2M15	CA_C10029MS2492FE_t0M15	CA_C10029IS2503FE_t3M15	CA_C10031MS2526FE_t0M15	CA_C10031IS2537FE_t3M15	CA_C10031IS2541FE_t4M15	CA_C10031IS2530FE_t1M15	CA_C10031IS2541FE_t5M16	CA_C10032IS2548FE_t1M15	CA_C10032IS2551FE_t2M15	CA_C10032IS2555FE_t3M15	CA_C10032IS2559FE_t4M15	CA_C10032IS2559FE_t5M16	CA_C10032MS2544FE_t0M15	CA_C10034IS2584FE_t1M15	CA_C10034IS2587FE_t2M15	CA_C10034MS2580FE_t0M15	CA_C10034IS2591FE_t3M15	CA_C10034IS2595FE_t4M15	CA_C10035IS2602FE_t1M15	CA_C10035IS2605FE_t2M15	CA_C10035MS2598FE_t0M15	CA_C10035IS2609FE_t3M16	CA_C10035IS2913FE_t4M16	CA_C10039MS2670FE_t0M16	CA_C10039IS2677FE_t2M16	CA_C10039IS2681FE_t3M16	CA_C10039MS2669SA_t0M15	CA_C10042MS2724FE_t0M16	CA_C10042IS2731FE_t2M16	CA_C10042IS2735FE_t3M16	CA_C10042IS2739FE_t4M16	CA_C10042IS2739FE_t5M16	CA_C10043IS2749FE_t2M16	CA_C10043MS2742FE_t0M16	CA_C10049IS2854FE_t1M16	CA_C10049IS2861FE_t3M16	CA_C10049IS2866FE_t4M16	CA_C10049IS2866FE_t5M16	CA_C10049IS2857FE_t2M16	CA_C10049MS2850FE_t0M16	CA_C10052MS2904FE_t0M16	CA_C10052IS2908FE_t1M16	CA_C10052IS2911FE_t2M16	CA_C10052IS2915FE_t3M16	CA_C10052IS2920FE_t5M16	CA_C10055IS2962FE_t1M16	CA_C10055IS2965FE_t2M16	CA_C10055IS2969FE_t3M16	CA_C10055MS2958FE_t0M16	CA_C10055IS2973FE_t4M16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0	0	0	0	0	0	0	0	0	0	0	0.01938	0	0	0.03649	0.04231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856	0	0	0	0	0	0	0	0	0	0.05241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21694	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0.00493	0	0	0	0.02151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0.03216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	1.51301	0	0	0.00078	0.01195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601	0	0	0	0	0	1.85087	0.0111	0	0.05899	0.0059	0	0	0	0	0.10361	3.72151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00205	0	0	0.11696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0	0	0	0	0	0	0	0	0	0	0	0.79077	0.00945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00356	0	0	0	0	0	1.38981	0	0	0.01261	0.0064	0	0	0	0	0.09413	2.11372	0	0	0	0	0	0	0.01931	0	0	0	0	0	0.16089	0.25199	0.52444	0	0	0	0.85182	0	0.00268	0	0.00572	0	0.19385	0	0	0.01195	0	0	0	0	0	0	0.04038	0	0	0	0	0	0	0	0.19022	0	0	0.02471	0	0	0	0	0	0	0	0	0	0.00554	0	0	0	0	0	0	0.56562	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.39458	0	0	0	0.01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0.3886	0	0	0	0.00236	0	0	0	0	0	0.90252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01271	0	0	0.07589	0	0	0	0	0	0	0	0	0	0.00193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0.00184	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.3069	0	0	0.00772	0.04456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062	0	0	0	0	0.01654	0.38274	0	0	0.00154	0	0	0	0	0	0	0.74558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01197	0	0	0.06683	0	0	0	0	0	0.03044	0	0	0	0.06346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.28357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0	0	0.38535	0	0	0.00174	0	0	0	0	0	0	0.81641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13718	0	0	0	0	0	0	0.7426	0	0	0	0	0	0	0	0.07699	0.00901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0.18324	0	0	0.10617	0.19234	0.00595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0.04845	0.3626	0	0	0	0	0	0.00013	0	0	0	0.44462	0	0	0.64006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.29159	13.96112	0	0	0	0	0	0	0	0	0	20.31598	0.71182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0.03399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06496	0	0	0	0	0	0	0	0	0	0.0885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.01938	0	0	0.03649	0.04231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856	0	0	0	0	0	0	0	0	0	0.05241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21694	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0.00728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0	0.00691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0.00493	0	0	0	0.02151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	0.00458	0	0	0	0.03002	0	0	0	0	0	0	0	0	0	0.04493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Aurantimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Eukaryota|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0.00286	0	0	0	0.00624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0.00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00211	0	0	0.03216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter	0	0	0	0	0	0	0	0	0	0	0	1.51301	0	0	0.00078	0.01195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00601	0	0	0	0	0	1.85087	0.0111	0	0.05899	0.0059	0	0	0	0	0.10361	3.72151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	0	0	0	0	0	0	0	0	0	0	0	0.79077	0.00945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00356	0	0	0	0	0	1.38981	0	0	0.0096	0.0064	0	0	0	0	0.09413	2.11372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae|g__Stenotrophomonas	0	0	0	0	0	0	0	0	0	0	0	0.28237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0	0	0.35199	0	0	0.00174	0	0	0	0	0	0	0.81399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13718	0	0	0	0	0	0	0.73509	0	0	0	0	0	0	0	0.07699	0.00901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0.21674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0	0	0	0	0.29771	0	0	0.00154	0	0	0	0	0	0	0.56445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia	0	0	0	0	0	0	0	0	0	0	0	0.17781	0	0	0.10617	0.16657	0.00595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068	0	0	0	0	0.04845	0.27592	0	0	0	0	0	0.00013	0	0	0	0.39952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Verminephrobacter	0	0	0	0	0	0	0	0	0	0	0	0.12686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08723	0	0	0	0	0	0	0	0	0	0.21506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Limnohabitans	0	0	0	0	0	0	0	0	0	0	0	0.09374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0.08066	0	0	0	0	0	0	0	0	0	0.23967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Polaromonas	0	0	0	0	0	0	0	0	0	0	0	0.09207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06195	0	0	0	0	0	0	0	0	0	0.24738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0.08155	0	0	0.00772	0.04456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017	0	0	0	0	0.01654	0.08386	0	0	0	0	0	0	0	0	0	0.16293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01197	0	0	0.06683	0	0	0	0	0	0.03044	0	0	0	0.06346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax	0	0	0	0	0	0	0	0	0	0	0	0.04483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5e-05	0	0	0	0	0	0.05008	0	0	0	0	0	0	0	0	0	0.09104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	0	0	0	0	0	0	0	0	0	0	0	0.03707	0	0	0	0.01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0.10869	0	0	0	0.00236	0	0	0	0	0	0.10937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0.00184	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Mycobacteriaceae|g__Mycobacterium	0	0	0	0	0	0	0	0	0	0	0	0.03399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06496	0	0	0	0	0	0	0	0	0	0.0885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas	0	0	0	0	0	0	0	0	0	0	0	0.01938	0	0	0.03649	0.04231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856	0	0	0	0	0	0	0	0	0	0.05241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21694	0	0	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname	0	0	0	0	0	0	0	0	0	0	0	0.00822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacteraceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.00728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0	0.00691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Blastomonas	0	0	0	0	0	0	0	0	0	0	0	0.00664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117	0	0	0	0	0	0	0	0	0	0.01253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	0.00543	0	0	0	0.02577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e-05	0	0	0	0	0	0.08669	0	0	0	0	0	0	0	0	0	0.04511	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37712	0	0	0	0	0	0	0	0	0	0	0.19801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0.00532	0	0	0	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
